S/N,CNature_Math,CNature_Theory,CNature_Abs,CNature_Prog,CNature_Prac,CStructure_Hard,CStructure_Mod,CStructure_Easy,CBroadness_Ext,CBroadness_Mod,CBroadness_Short,CPerformance_Poor,CPerformance_Fair,CPerformance_Good,StuCapacity_Low,StuCapacity_Avg,StuCapacity_High
01C1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
01C2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
01C3,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
01C4,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
01C5,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
01C6,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
01C7,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
01C8,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
01C9,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
01C10,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
01C11,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
01C12,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
01C13,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
01C14,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
01C15,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
01C16,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
01C17,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
01C18,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
01C19,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
01C20,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
01C21,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
01C22,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
01C23,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1
01C24,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
01C25,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
01C26,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
01C27,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
01C28,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
01C29,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
01C30,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
01C31,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
01C32,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0
01C33,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
