,antecedents,consequents,support,confidence,lift
0,CSC310_F,BUS313_F,0.21875000000000003,1.0,2.285714285714285
1,CSC312_A,EDS311_A,0.3125,1.0,1.4545454545454541
2,BUS313_C,CIT310_A,0.28125,0.9,1.309090909090909
3,CSC317_C,CIT310_A,0.375,0.8571428571428571,1.246753246753246
4,MIS316_B,CIT310_A,0.34375000000000006,0.846153846153846,1.23076923076923
5,CSC313_A,EDS311_A,0.3125,0.833333333333333,1.212121212121212
6,CSC310_C,CIT310_A,0.28125,0.818181818181818,1.190082644628099
7,BFN311_C,CIT310_A,0.28125,0.818181818181818,1.190082644628099
8,BFN311_C,EDS311_A,0.28125,0.818181818181818,1.190082644628099
9,CSC312_A,CIT310_A,0.25,0.8,1.1636363636363631
10,GST311_C,CIT310_A,0.34375000000000006,0.785714285714285,1.142857142857142
11,BFN311_F,BUS313_F,0.21875000000000003,0.777777777777777,1.7777777777777781
12,TMC311_A,EDS311_A,0.40625000000000006,0.764705882352941,1.112299465240641
13,CSC313_A,TMC311_A,0.28125,0.75,1.411764705882353
14,CSC312_C,EDS311_A,0.28125,0.75,1.09090909090909
15,CSC310_C,GST311_C,0.25,0.7272727272727271,1.662337662337662
16,CSC310_C,EDS311_A,0.25,0.7272727272727271,1.057851239669421
17,CSC310_C,CSC317_C,0.25,0.7272727272727271,1.662337662337662
18,GST311_C,EDS311_A,0.3125,0.7142857142857141,1.038961038961039
19,TMC311_A,CIT310_A,0.375,0.7058823529411761,1.026737967914438
20,CSC312_A,CSC313_A,0.21875000000000003,0.7000000000000001,1.866666666666666
21,BUS313_C,TMC311_A,0.21875000000000003,0.7000000000000001,1.317647058823529
22,CSC312_A,TMC311_A,0.21875000000000003,0.7000000000000001,1.317647058823529
23,BUS313_C,EDS311_A,0.21875000000000003,0.7000000000000001,1.018181818181818
24,BUS313_C,CSC317_C,0.21875000000000003,0.7000000000000001,1.5999999999999992
25,MIS316_B,TMC311_A,0.28125,0.6923076923076921,1.303167420814479
26,MIS316_B,GST311_C,0.28125,0.6923076923076921,1.5824175824175821
27,MIS316_B,EDS311_A,0.28125,0.6923076923076921,1.006993006993006
28,MIS316_B,CSC317_C,0.28125,0.6923076923076921,1.5824175824175821
29,CIT310_A,EDS311_A,0.46875000000000006,0.6818181818181811,0.9917355371900821
30,EDS311_A,CIT310_A,0.46875000000000006,0.6818181818181811,0.9917355371900821
31,CSC313_A,MIS316_B,0.25,0.6666666666666661,1.641025641025641
32,CSC313_A,CIT310_A,0.25,0.6666666666666661,0.9696969696969691
33,CSC317_C,MIS316_B,0.28125,0.642857142857142,1.5824175824175821
34,CSC317_C,TMC311_A,0.28125,0.642857142857142,1.210084033613445
35,BUS313_F,CIT310_A,0.28125,0.642857142857142,0.935064935064935
36,GST311_C,MIS316_B,0.28125,0.642857142857142,1.5824175824175821
37,BFN311_C,MIS316_B,0.21875000000000003,0.636363636363636,1.566433566433566
38,CSC310_C,TMC311_A,0.21875000000000003,0.636363636363636,1.197860962566844
39,BFN311_C,GST311_C,0.21875000000000003,0.636363636363636,1.4545454545454541
40,BFN311_C,CSC313_A,0.21875000000000003,0.636363636363636,1.696969696969697
41,MIS316_B,CSC313_A,0.25,0.6153846153846151,1.641025641025641
